model,accuracy,precision,recall,f1,roc_auc
Logistic Regression (Ridge/L2),0.8379888268156425,0.8125,0.7536231884057971,0.7819548872180451,0.8740447957839261
Stacking Ensemble,0.8603351955307262,0.84375,0.782608695652174,0.8120300751879699,0.8685111989459815
Random Forest,0.8268156424581006,0.8392857142857143,0.6811594202898551,0.752,0.8566534914361001
XGBoost,0.8100558659217877,0.7692307692307693,0.7246376811594203,0.746268656716418,0.8436100131752305
